,smiles,mass,fp_score,rank_1,rank_2,rank_3
213,CC(C)C(C)OC(=O)CCCC(=O)OC(C)C(F)(F)F,298.13919381200003,0.9728260869565217,9,3,3
214,CCCCCCCCCCCCCO[Si](C)(C)Oc1ccccc1C,364.27975704999994,0.9130434782608695,10,2,2
215,CO/N=C\C(O[Si](C)(C)C)C(O[Si](C)(C)C)C(O[Si](C)(C)C)C(CO[Si](C)(C)C)O[Si](C)(C)C,569.2875711299998,0.9927536231884058,1,1,1
216,CCCCCOC(=O)CCCCC(=O)Oc1cccc(CC)c1,320.198759376,0.9927536231884058,1,1,1
217,CC(C)[C@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(O[Si](C)(C)C)CC[C@]4(C)[C@H]3CC[C@@]21C,472.410042942,0.9384057971014492,99999,3,99999
218,CCCCCC(CC)OC(=O)CCCC(=O)Oc1cccc(Cl)c1,354.159787024,0.9855072463768116,2,2,2
219,CCCCCCCCCCN(C)C(=O)Cc1cccs1,295.19698554800004,0.9438405797101449,1,1,1
220,CCCCCCOC(=O)C1CCCN1C(=O)C1CCCCC1,309.230393852,0.9855072463768116,1,1,1
221,CCCCCCCCCCCCCCCCCCCCOC(=O)CCCCC(=O)OCCC(C)CC,510.4648104639999,0.9963768115942029,1,1,1
222,CC(C)(C)C(=O)Oc1ccc2ncccc2c1,229.11027872,0.9492753623188406,2,2,2
223,CC(C)=CCC/C(C)=C/CC/C(C)=C/CO[Si](C)(C)C(C)(C)C,336.28484242999997,0.9583333333333334,2,1,1
224,COc1cc(/C=C/C(=O)O[Si](C)(C)C)cc(OC)c1O[Si](C)(C)C,368.147527056,0.9130434782608695,1,1,1
225,COc1ccc(OS(C)(=O)=O)c(C(C)(C)C)c1,258.09258005600003,0.9293478260869565,7,1,1
226,CCCCCCCCCOC(=O)CCCCCC(=O)OCCC(C)C,356.29265976,1.0,1,1,1
227,COC(=O)CN(C(=O)c1ccccc1)C(=O)C(F)(F)Cl,305.02664192,0.7934782608695652,9247,991,175
228,CCCCCOC(=O)C1CCN(C(=O)OC)CC1,257.162708216,0.980072463768116,1,1,1
