,n_1,n_2,n_3
887,36935,7421,950
888,36740,5182,1315
889,35775,7287,437
890,38802,7394,2096
891,38830,6319,1155
892,38607,5448,1044
893,38396,7409,2258
894,37794,4242,691
895,28054,4868,3320
896,37050,7232,689
897,37030,5850,377
898,37478,6962,3375
899,27370,5096,1584
900,38721,7297,2142
901,10215,1872,515
902,31792,5086,1742
903,35743,5772,2821
904,35733,7531,758
905,14212,2007,737
906,38833,7506,2684
907,38839,5697,558
908,6733,612,535
909,31996,7647,642
910,29152,2124,625
911,37768,1448,40
912,35150,2982,584
913,38866,7384,2692
914,37048,7457,1759
915,37570,4258,216
916,20214,4203,1112
917,24184,2999,1243
918,23143,2120,896
919,15453,3715,1982
920,23527,2941,1233
921,39017,7662,2488
922,38289,5475,1288
923,37249,7677,2450
924,34684,4250,1461
925,31699,2905,910
926,27725,5549,1520
927,38594,7460,2588
928,25220,4374,1377
929,27889,2119,685
930,33994,6349,1981
931,37177,7324,1762
932,36972,6936,2772
933,38137,6364,1872
934,15041,7300,387
935,18371,2924,2106
936,38561,7561,1980
937,37626,6913,2222
938,30429,6379,2118
939,38799,7075,1537
940,37701,7460,925
941,26275,7454,436
942,31701,1703,242
943,37375,6497,1990
944,25808,1637,402
945,38981,1267,94
946,5582,608,527
947,38074,6337,1939
948,38548,2432,121
949,1896,42,38
950,30155,5193,1823
951,35048,7412,2305
952,35880,2123,196
953,36963,800,64
954,34110,4210,1364
955,31112,7013,1298
956,30155,5529,1826
957,38612,7472,2268
958,6344,2046,982
959,36946,3602,559
960,23803,4600,2754
961,31903,5072,1833
962,38801,4368,515
963,38880,6763,1539
964,33661,6861,310
965,36800,6585,2220
966,38392,6916,2993
967,36847,7298,2114
968,38693,1700,115
969,28945,4216,1715
970,34565,7356,1608
971,28012,3239,2034
972,27648,821,107
973,35389,5803,1899
974,38711,6781,1106
975,30881,5171,1867
976,37294,4244,787
977,38033,3632,216
978,21535,4611,1291
979,17368,2115,1026
980,4150,303,74
981,37296,6469,1991
982,22551,1372,431
983,30909,5457,1666
984,35880,6422,2452
985,32816,7086,1294
986,2106,305,74
987,35790,4846,1446
988,38947,7257,2000
989,37208,7352,2184
990,27545,5549,1515
991,26033,3637,1449
992,33910,5360,1842
993,30065,1551,295
994,37143,5421,1572
995,23787,3895,1241
996,28358,3652,1395
997,19711,4393,1143
998,38967,7286,2091
999,27958,2901,1296
